,userName,score,at,content,clean_teks,polarity_score,polarity
209,Tarman Harisman,5,2023-09-11T09:40:23.000,Wooowwwww sebuah aplikasi yang sangat kereeenn.aplikasi ini sangat membantu khususnya bagi para konten kreator yang ingin menghasilkan video yang banyak di sukai orang tentunya dari editan video yang sangat luar biasa dan sangat bagus hasilnya.terimakasih capcut 🥰😘,"buah,aplikasi,yang,sangat,sangat,bantu,bagi,para,yang,hasil,yang,banyak,suka,tentu,dari,yang,sangat,biasa,sangat,bagus",4,positive
210,Arga Saputra,5,2023-11-10T18:58:18.000,"Bagus dan tidak mengecewakan aplikasi edit pidio/poto, yg simpel dan mudah untuk di gunakan.","bagus,tidak,aplikasi,yang,simpel,mudah,guna",-4,negative
211,Ardhiansyah Fernanda,5,2023-09-22T10:11:41.000,"Capcut dengan cepat menjadi salah satu aplikasi favorit saya, berkat desainnya yang ramping dan fitur-fitur canggihnya. Keserbagunaan aplikasi ini memungkinkan saya tetap teratur, terinformasi, dan terhubung, semuanya dari kenyamanan perangkat seluler saya. Saya menghargai perhatian terhadap detail dan dedikasi terhadap kepuasan pengguna yang telah diberikan oleh pengembang ke dalam Capcut.","cepat,jadi,salah,satu,aplikasi,saya,berkat,desain,yang,aplikasi,mungkin,saya,tetap,atur,informasi,hubung,semua,dari,nyaman,saya,saya,harga,detail,puas,guna,yang,beri,kembang,dalam",2,positive
212,aidha Detria,3,2023-09-26T19:29:39.000,"saya sangat suka dengan apk ini bahkan sudah bertahun² saya menggunakan apk ini... tapi pada update an terbaru ini kenapa berbeda ya min? capcut saya sering ngelag, sering keluar ke halaman utama sendiri, bahkan saya hampir tidak bisa menggunakan apk capcut ini.. saya minta tolong untuk di perbaiki ya min, terimakasih....","saya,sangat,suka,aplikasi,sudah,saya,guna,aplikasi,pada,terbaru,beda,saya,sering,sering,keluar,sendiri,saya,tidak,guna,aplikasi,saya,minta,tolong,baik,terima kasih",-14,negative
213,Farhan Oleng,5,2023-10-06T08:21:39.000,Aplikasinya menarik bikin para pemula tidak ribet dan mudah untuk mengedit apa yang di ingin kan pokonya buat capcut saya support terus semoga kedepan nya menjadi lebih bagus.,"aplikasi,tarik,para,mula,tidak,ribet,mudah,apa,yang,poko,buat,saya,support,moga,jadi,lebih,bagus",-11,negative
214,Putra Aryadi,5,2023-10-17T17:19:46.000,aplikasi nya sangat menarik. dan memudah kan orang yang mau ngedit lebih gampang dan sangat mudah. tinggal menaruh Poto dan udah jadi seru banget untuk hasil nya juga bagus banget terimakasih yaa cap cut sudah memudah kan kita yang mengguna capcut,"aplikasi,sangat,tarik,mudah,yang,mau,lebih,gampang,sangat,mudah,tinggal,taruh,sudah,jadi,seru,hasil,bagus,terima kasih,sudah,mudah,yang,guna",44,positive
215,Novi Aulia,3,2023-11-12T17:48:44.000,"Nyesel update capcut enk capcut yang lama dari pada yang baru, yang baru banyak bug nya terus juga pas mau ekspor video nya gabusa terus tolong di perbaiki lagi ya","sesal,terbaru,yang,lama,dari,pada,yang,yang,banyak,pas,mau,tolong,baik,lagi",-11,negative
216,Komang Anggita,3,2023-11-18T14:58:02.000,"Aplikasi nya bagus tapi sy sedikit kecewa knpa saat akan memakai template muncul tulisan ""tidak dapat di unduh"" bisa tolong di perbaiki","aplikasi,bagus,saya,sedikit,muncul,tidak,dapat,tolong,baik",-10,negative
217,BabanK Al,1,2023-11-22T17:15:27.000,Kenapa habis di Update Lemot sekali. Loading banget. Gangguan AP perbaikan sich ini. Kok lama sekali. Selalu ceket². GK Enak sama sekali.,"habis,terbaru,lot,sekali,ganggu,apa,baik,lama,sekali,tidak,enak,sama,sekali",-6,negative
218,Selma Sabrina,5,2023-11-28T12:27:46.000,"Sangat mempermudah dalam mengedit video, banyak fitur bagus dan tidak sulit pemakainnya sehingga pemula tidak akan kesulitan👍👍👍","sangat,mudah,dalam,banyak,bagus,tidak,mula,tidak",2,positive
219,San Ty,1,2023-11-28T10:04:08.000,Capcut sekarang sumpah jelek banget setiap buat video selalu ngebug .hasil video jadi gak bisa di liat full hitam but masih ada suaranya .what happen with capcut?,"sumpah,jelek,buat,hasil,jadi,lihat,hitam,mungkin,ada,suara",7,positive
220,Zakiatun Nufus,1,2023-12-02T02:45:04.000,Sekarang aplikasi ini memang sudah gila ya mengapa templat nya klo aku mau tambah proyek atau apa itu sekali pencet gk langsung sesudah uptade kalo belum di uptade sekali pencet langsung dan mengapa klo mau nambah vidio itu lama banget gk langsung maaf saya kasih bintang 1 soalnya aplikasi ngelag,"aplikasi,memang,sudah,gila,kalau,aku,mau,tambah,apa,itu,sekali,pencet,tidak,langsung,sudah,kalau,sekali,pencet,langsung,kalau,mau,itu,lama,tidak,langsung,maaf,saya,kasih,soal,aplikasi",-1,negative
221,jihan maulana,1,2023-10-06T19:30:30.000,"Kukira di update malah bagus,malah tambah jelek bnget anjirttt,video yg kusukai untuk yg kusimpan setelah update malah hilang semua,mana saat mengimport lemotnya minta ampun,sudah bagus yang sebelum di update,setelah di update malah rusak semua malah tambah jelekjelek,saya lebih suka yg versi lama,kalau bisa kembalikan saja yg versi lama jangan semuanya di ubah,sumpah sih aku yg pengguna lama capcut lebih suka versi lama dari pada versi baru.","kira,terbaru,tambah,jelek,yang,suka,yang,simpan,terbaru,hilang,lot,minta,bagus,yang,terbaru,rusak,semua,tambah,lebih,suka,yang,saja,yang,lama,jangan,semua,aku,yang,guna,lama,lebih,suka,lama,dari,pada",-29,negative
222,Nalurita,1,2023-11-21T06:47:37.000,"ini saya coba log-in dengan tiktok berulang kali tidak bisa itu kenapa ya? saya juga sudah coba hapus & install ulang capcut, tapi tetap tidak bisa masuk dengan tiktok. coba dibenahi sistemnya kak 🙏🙏🙏","saya,coba,tidak,itu,saya,sudah,coba,hapus,pasang,tetap,tidak,coba,sistem",-9,negative
223,Lilistri Mokoagow,5,2023-11-18T11:19:47.000,Setelah saya update lebih bagusssss mungkin temen saya yg bilang lemot mungkin karena jaringan soalnya dia hanya numpang wifi tetangga nya yg rumah nya GK terlalu dekat rumah saya di tengah teman saya di kanan dan tetangga aku sama teman di kiri,"saya,terbaru,lebih,mungkin,saya,yang,lot,mungkin,karena,jaringan,soal,dia,hanya,yang,tidak,terlalu,dekat,saya,tengah,saya,aku,sama,kiri",-34,negative
224,Fathiyah jasmine Ramadhani,5,2023-10-13T07:09:10.000,"Sangat bagus ... Aplikasinya jg cocok digunakan oleh pemula.. Tdk perlu khawatir lg klu nggk bisa edit, Karena tersedia bnyk template video & foto yg bisa digunakan dngn mudah.","sangat,bagus,aplikasi,cocok,guna,mula,tidak,perlu,khawatir,lagi,tidak,karena,sedia,banyak,foto,yang,guna,mudah",-2,negative
225,Nabila Akhlakul Karimah,1,2023-11-18T17:31:28.000,"Eh mon maaf kok capcut jadi kek gini ya gw mau pake template tapi gak bisa digunakan terus saat gw buka berada eh malah template nya gak ada gambarnya putih putih terus, tolong developer diperbaiki lagi 🙏🏻","maaf,jadi,seperti,saya,mau,guna,saya,buka,ada,ada,gambar,putih,putih,tolong,baik,lagi",5,positive
226,Bulu Cina,2,2023-11-20T19:24:36.000,"Aplikasinya suka macet dan keluar sendiri, padahal sinyal ny banyak tapi msi aj macet, jdi tolong yh di perbaiki!!","aplikasi,suka,keluar,sendiri,banyak,saja,jadi,tolong,baik",-5,negative
227,Uknown ???,1,2023-11-25T22:02:57.000,"aplikasi SAMPAH!!!! semenjak update makin buruk kualitasnya ni aplikasi. Ngedit video di download terus videonya yg tadinya harus 18 detik malah hanya sampai 6 detik. dasar aplikasi SAMPAH!!! Semoga ada perbaikan dari para developer² ini, tapi gua yakin 1 Juta persen gua gabakal di feedback ama Developer nya","aplikasi,sampah,terbaru,makin,buruk,kualitas,aplikasi,yang,harus,hanya,sampai,aplikasi,sampah,moga,ada,baik,dari,para,saya,yakin,juta,persen,saya,gabakal,sama",-19,negative
228,Marsya Candrina chika,3,2023-11-18T22:20:41.000,"setelah di update kok jadi sering nge lag ya bahkan buat meng expor Vidio saja lama sekali,mohon di di perbaiki lagi terima kasih jika masukan saya ini di tanggapi","terbaru,jadi,sering,buat,saja,lama,baik,lagi,terima,kasih,saya,tanggap",6,positive
229,Justin,1,2023-11-25T10:00:55.000,Aku kurang suka aplikasi kasi ini saat mengedit karena suka pas ngepasin fotonya selalu henti hetian gitu seharusnya kayak Viva video mulus ini mah gak mulus saran dari saya tolong perbaiki ya biar pengalaman mengedit nya makin bagus😓,"aku,kurang,suka,aplikasi,kasih,karena,suka,pas,foto,henti,harus,kayak,mulus,mulus,saran,dari,saya,tolong,baik,alam,makin,bagus",5,positive
230,Luna Pasaribu,1,2023-09-19T20:47:17.000,"Apk ny kea kntl!!! Semenjak di update apk nya jdi sering lag,,dan template nya gk bisa di pakai,bahkan ketika saya memakai nya apk nya sering keluar tiba-tiba,, entah mengapa!!!saya harap semoga capcut kembali seperti dulu lagi.","aplikasi,terbaru,aplikasi,jadi,sering,tidak,saya,aplikasi,sering,keluar,entah,harap,moga,seperti,lagi",-15,negative
231,Nurul Sabilaa,1,2023-11-17T12:03:06.000,"Kouta masih banyak jaringan internet bagus tapi pas download template kok ada tulisan ""tidak dapat mengunduh""dari tadi Lo pas ga di update biasa ² tapi pas di update malah tambah parahh.","banyak,jaringan,bagus,pas,ada,tidak,dapat,pas,tidak,terbaru,biasa,pas,terbaru,tambah,parah",21,positive
232,Dian Haerani,3,2023-11-10T18:15:49.000,"Apk nya bagus memudahkan bgt buat aku yang ga pintar ngedit,tapi akhir² ini sering bngt nge lag kadang juga keluar sendiri meski baru masuk di apk nya knpa yah,cmn itu si makasih","aplikasi,bagus,mudah,buat,aku,yang,tidak,sering,kadang,keluar,sendiri,meski,aplikasi,itu,terima kasih",-8,negative
233,Hamzah Irawan,1,2023-11-21T17:25:18.000,"Capcutnya setiap saya mau exporst buat di simpen kenapa ga loading"" udah nunggu lama sejam eh malah ga bisa padahal memo gede terus semua game dan apk udah di hapus dan apk aku cuma ada WA dan capcut tapi kok capcutnya kek gini?!!!!!??","saya,mau,buat,tidak,sudah,nunggu,lama,tidak,gede,semua,game,aplikasi,sudah,hapus,aplikasi,aku,cuma,ada,seperti",-12,negative
234,dedee citra_,3,2023-11-14T20:33:49.000,Sering banget update. Tolong dibuat offline saja pengeditannya agar stabil tanpa harus sinyal. User pengguna jg nyaman ngeditny seperti kinemster tks,"sering,terbaru,tolong,buat,saja,agar,stabil,harus,guna,nyaman,seperti,terima kasih",7,positive
235,Tito Nugraha,1,2023-10-22T10:55:32.000,Sekedar saran aja buat apk ini tolong jngn pake efek efek yang berbayar karna sangat mengganggu bagi yg baru pertama kali mnggunakan apk ini dan memakai efek yang berbayar karna otomatis video yg diedit tidak akn bisa tersimpan jika tdk berlangganan atau membayar efek tersebut dan itu sangat mengecewakan,"saran,saja,buat,aplikasi,tolong,efek,efek,yang,bayar,karena,sangat,ganggu,bagi,yang,aplikasi,efek,yang,bayar,karena,otomatis,yang,tidak,simpan,tidak,langgan,bayar,efek,itu,sangat",-27,negative
236,Rollin Manuel,2,2023-11-15T19:50:04.000,"semenjak update gabisa ngesearch lagi tulisannya selalu "" Tidak dapat dimuat. ketik untuk mencoba lagi"" udah apus download berapa kali gabisa juga tolong lah kek mana ini?","terbaru,lagi,tidak,dapat,coba,lagi,sudah,tolong,seperti",-3,negative
237,Marc!,1,2023-11-14T14:59:15.000,"setelah di update saya ingin menggunakan aplikasi ini, tapi setelah beberapa kali saya pencet malah keluar paksa, apaan bngt. menghabiskan kuota saya saja. mohon bantuannya, kenapa bisa seperti ini? sangat menggangu. saya sudah menunggu untuk mengupdate aplikasi ini, tapi apa yang saya dapat kan? apa yang di katakan mikasa memang benar ""dunia ini sangat kejam""","terbaru,saya,guna,aplikasi,saya,pencet,keluar,paksa,apa,habis,kuota,saya,saja,mohon,bantu,seperti,sangat,saya,sudah,tunggu,aplikasi,apa,yang,saya,dapat,apa,yang,kata,memang,benar,dunia,sangat,kejam",-30,negative
238,frostymons gaming,2,2023-10-13T15:56:29.000,"Sy kasi bintang dua karena ap,karena sejak capcut update Jd pro,Sy emg tidak terganggu,tapi kadang Sy tidak bisa upload suara/vid/foto dri galeri,dan kadang juga sy tidak bisa upload video dari stok video,bukan tidak bisa,tapi setiap saya upload,selalu keluar dri desain sy,tp tidak terupload,tolong diperbaiki ya,karena ini sangat sangat sangat mengganggu ketika saya sedang membuat video untuk chanel.Btw jgn lupa subscribe chanel frostymons gaming yaa","saya,kasih,dua,karena,terbaru,jadi,emg,tidak,kadang,saya,tidak,dari,kadang,saya,tidak,dari,stok,tidak,saya,keluar,dari,desain,tidak,baik,sangat,sangat,sangat,ganggu,saya,buat,jangan,lupa,game",-32,negative
239,Iffah Huriyyah,4,2023-10-30T18:22:24.000,"capcut bagus dan bisa membantu banget tapi, kok sekarang kalo mau dowload vidio nya ada tanda capcut ? padahal dowloadnya sudah pakai tanpa tanda air, padahal dulu tidak seperti ini, tolong di perbaiki lagi yaa. makasii!","bagus,bantu,kalau,mau,ada,tanda,sudah,tanda,air,tidak,seperti,tolong,baik,lagi",3,positive
240,raayy23,2,2023-09-28T17:52:34.000,"Capcut makin di update makin rusak, tiap mau milih"" foto gabisa diem di pilihan yang awal, malah relog lg ke foto terbaru, aku kan jadinya klo milib foto yang di bawah jadi kudu scroll dlu, udh gtu ke atas lagi, scroll lg, ribet bgt.","makin,terbaru,makin,rusak,mau,milih,foto,diem,pilih,yang,awal,lagi,foto,aku,jadi,kalau,foto,yang,jadi,harus,atas,lagi,lagi,ribet",-4,negative
241,Maulid Nurohman,3,2023-11-19T16:45:31.000,"iklan nya tolong di perbaiki, sering ada sound iklan saat menggunakan templat, sangat mengganggu!!!","tolong,baik,sering,ada,guna,sangat,ganggu",8,positive
242,Zaenal Abidin,2,2023-11-17T17:18:34.000,"Maaf ini setelah update kenapa ga bisa scan file musik dari perangkat yaa, sangat mengganggu pekerjaan saya.. sebelumnya baik baik saja untuk developer segera di perbaiki dong","maaf,terbaru,tidak,musik,dari,sangat,ganggu,saya,baik,baik,saja,segera,baik",5,positive
243,Seger No,1,2023-11-19T06:57:24.000,Aplikasi capcut ini.sebenernya bagus tapi ada masalah sedikit tolong dong di updet atau di perbaiki soal nya sering ada ngelag pas mau pake template tolong dong di perbaiki soalnya capcut nya bikin emosi soalnya bukanya susah pokok nya perbaiki lah,"aplikasi,bagus,ada,masalah,sedikit,tolong,baik,soal,sering,ada,pas,mau,tolong,baik,soal,emosi,soal,buka,susah,pokok,baik",17,positive
244,Bintang,2,2023-11-20T19:48:58.000,Aplikasi ya bagus bisa bikin content creator tapi kadang ada bug ya jadi bug ya tolong dihapus ya biar saya lancar bikin content creator ya ya maaf saya kasih bintang dua,"aplikasi,bagus,kadang,ada,jadi,tolong,hapus,saya,lancar,maaf,saya,kasih,dua",4,positive
245,14. M. Faiz Alvino,3,2023-11-11T21:27:01.000,Sebenarnya udah bagus tapi kok pas saya mau ngedit video atau foto kok loading nya lama nian dan GK bisa jadi tolong dibenerin kalau udah dibenerin langsung ku kasih bintang 5,"benar,sudah,bagus,pas,saya,mau,foto,lama,nian,tidak,jadi,tolong,benar,kalau,sudah,benar,langsung,kasih",20,positive
246,Jerzy Muhamad,1,2023-11-24T23:30:58.000,"sangat di sayangkan sekali di mode slow motion video nya karna patah patah, padahal di versi sebelum nya sudah mau smoth, sangat kecewa","sangat,sayang,sekali,slow,karena,patah,patah,sudah,mau,sangat",6,positive
247,Mulat Muliasih,1,2023-12-01T20:13:53.000,Baru di unduh tapi ketika membuat proyek malah videonya tidak bisa berjalan. Tolong di perbaiki karena ini untuk membuat tugas.,"buat,tidak,tolong,baik,karena,buat,tugas",-6,negative
248,Salim Produk official,5,2023-11-16T13:09:53.000,"Dengan capcut yang dulunya saya nggak jago edit video untuk content tiktok saya , sekarang jadi jago editing , hasilnya sangat bagus , thanks you creator capcut","yang,saya,tidak,jago,saya,jadi,jago,hasil,sangat,bagus,terima kasih",4,positive
249,Helen Nathania,4,2023-11-29T17:44:52.000,Aplikasi nya bagus tapi kok loading nya lama bgt ya? Kalo bisa di benerin jgn ada loading nya lagi lama bikin kesel!!!,"aplikasi,bagus,lama,kalau,jangan,ada,lagi,lama,kesel",-18,negative
250,Rsfa,2,2023-10-28T17:51:19.000,"Aplikasi ini bagus sih buat edit video tapi sekarang tuh sudah ada watermarknya jadi tidak nyaman untuk hasil download video yang kita edit, lalu jadi tidak nyaman post video di sosmed karena ada watermarknya.","aplikasi,bagus,buat,sudah,ada,jadi,tidak,nyaman,hasil,yang,lalu,jadi,tidak,nyaman,karena,ada",8,positive
251,Aisiyah Citra,3,2023-11-30T12:31:16.000,Maaf nih aki kasih begini 3 kesalahan yg aku alami 1 gebak tiba-tiba keluar sendiri 2 lama kalau mau di pasang foto pas sudah di pasang malah hasil nya jelek 3 kadang suka bilang maaf koneksi anda tidak cukup aku lebi suka yg dulu kar na baik peroses nya juga lancar tapi semakin di upload semakin aneh aku kecewa😞😞 mohon di perbaiki mohon aku sekali saja coba di perbaiki soal nya aku sering bikin ini dan karna adeku juga dia malah hapus sekali lagi minta maaf mohon di perbaiki 💔💔💝😢😢😢maaf,"maaf,kasih,begini,salah,yang,aku,alami,keluar,sendiri,lama,kalau,mau,pasang,foto,pas,sudah,pasang,hasil,jelek,kadang,suka,maaf,koneksi,anda,tidak,cukup,aku,suka,yang,baik,lancar,makin,makin,aneh,aku,mohon,baik,mohon,aku,sekali,saja,coba,baik,soal,aku,sering,karena,dia,hapus,sekali,lagi,minta,maaf,mohon,baik,maaf",30,positive
252,Sholeh Baru,3,2023-11-11T19:00:24.000,Di hp android entah lah . kadang ngeheng hasil editan seringkali hilang? Mungkin banyak paktor.dari hp. bisa dari sinyal bisa juga dari apk nya,"entah,kadang,hasil,hilang,mungkin,banyak,dari,dari,aplikasi",-2,negative
253,Ptraa prmnaa,1,2023-11-22T20:21:13.000,tolong perbaiki kenapa setiap masuk selalu lama dan lag mulu padahal sinyal bagus ruang penyimpanan masih banyak/memori tolong perbaiki secepat mungkin aj9,"tolong,baik,lama,melulu,bagus,ruang,simpan,tolong,baik,cepat,mungkin,saja",-10,negative
254,Fahrurohendah Endah,3,2023-11-18T03:44:27.000,Semenjak update pertama makin kesini makin lama kalo buka capcut harus update dulu bikin paket boros aja lah nya parah banget pengen deh ngasih reting bagus tapi aplikasi nya jelek banget,"terbaru,makin,makin,lama,kalau,buka,harus,terbaru,paket,boros,saja,parah,bagus,aplikasi,jelek",-11,negative
255,Raja Nabila Musdalifah,1,2023-11-19T09:32:14.000,"Tolong min! Aplikasinya sudah di install ulang tapi tetap ga bisa login pakai tiktok maupun Facebook, jadi sekarang ga bisa di pakai aplikasi nya","tolong,aplikasi,sudah,pasang,tetap,tidak,jadi,tidak,aplikasi",-9,negative
256,Imat Cenell24,1,2023-12-01T22:30:49.000,Ahir Ahir ini saya aplut vidio engga pernah full layar padahal saya edit seadanya engga perna pake tuh yg namanya bingkai tetapi tetap aja engga full layar tolong maksimalkan. Seperti yg sebelumnya terimakasih,"saya,saya,ada,yang,tetap,saja,tolong,maksimal,seperti,yang,terima kasih",-7,negative
257,Asiyah Pontianak,2,2023-11-28T19:43:35.000,"Ak suka aplikasi nya cuman, aplikasi agak nyebelin dikit soalnya kalo mau buat vidio nya itu klo mau masuk ke tiktok harus ada iklannya tolong diperbaiki lagi yaaaaaaaa","saya,suka,aplikasi,aplikasi,nyebelin,dikit,soal,kalau,mau,buat,itu,kalau,mau,harus,ada,tolong,baik,lagi",-13,negative
258,Yuniii,3,2023-11-24T18:44:26.000,"pls deh, ini capcut knp coba? jaringan bagus tp sebagian template nya gabisa dipake, tulisannya “tidak dapat mengunduh” paan si, bkin badmood aja","tolong,coba,jaringan,bagus,bagi,tidak,dapat,badmood,saja",-3,negative
259,Nur Khikmah,3,2023-11-24T13:10:54.000,"semenjak di update mlah tambah lemot deh ni aplikasi,gak bisa masuk ke profil coba lagi hubungkan ke internet Kya gitu terus,pdhal jaringan normal,","terbaru,tambah,lot,coba,lagi,hubung,jaringan,normal",6,positive
260,Amy Natrah,1,2023-11-21T17:01:45.000,Nge-scan musik diperangkat ponsel lama banget padahal di versi sebelumnya cepat & lancar lancar aja.,"musik,lama,cepat,lancar,lancar,saja",6,positive
261,K A M U U シ,3,2023-11-07T09:21:24.000,"pas blm update nyamann bgtt, pas udh update kek aneh gt wkwkwk, mngkin krna blm terlalu biasa sm perubahan inii. trus jg, pp pengguna capcut kok rada-rada ya? ada yg jempol tp mrip itu. pliss, keamanan disini mna? ga ngerti lgi.","pas,terbaru,pas,terbaru,seperti,aneh,wkwkwk,karena,terlalu,biasa,guna,ada,yang,jempol,itu,tolong,tidak,mengerti,lagi",10,positive
262,Wiky Musik28,1,2023-11-14T02:27:04.000,"kenapa capcut sekarang banyak bug nya sekarang saya makek aplikasi ini untuk edit video,masukan musik aja gak bisa,gambar atau video tamplat gak ada,gimna sih,g..blk","banyak,saya,aplikasi,musik,saja",-5,negative
263,Fadhil Akmal,2,2023-09-28T22:47:00.000,"Setelah update jadi suka berhenti, lemot dan ngebug jelek deh, tolong diperbaiki plisss saya inggin menggunakan nya jadi males apalagi download nya lama mb nya gede banget. Tolong di perhatikan kenyamanan konsumen. Semoga dinotis oleh devoloper, sekian bye","terbaru,jadi,suka,henti,lot,jelek,tolong,baik,saya,guna,jadi,males,lama,gede,tolong,nyaman,moga,bye",-12,negative
264,Afika Afika,1,2023-11-19T08:20:48.000,Pas aku perbarui capcut itu tidak bisa mengekspor/pertinjau itu kenapa ya ko punya aku ga bisa trs pas aku hapus capcut ny trs aku download lagi itu apk ny tidak ada di beranda hp aku itu penyababnya apa ya Tolong jelaskan untuk apk capcut?!!!!? Aku minta tanggung jawab capcut harus balikin capcut aku yang dulu+trik nya agar bisa pratinjau kembali sesudah aku download baru 3 atau 4 hari itu tidak bisa pratinjau itu kenapa ya capcut gamau tanggung jawab dasar....,"pas,aku,itu,tidak,itu,punya,aku,tidak,pas,aku,hapus,aku,lagi,itu,aplikasi,tidak,ada,beranda,aku,itu,apa,tolong,jelas,aplikasi,aku,minta,tanggung,jawab,harus,aku,yang,agar,sudah,aku,itu,tidak,itu,gamau,tanggung,jawab",-30,negative
265,Rian pebriana,3,2023-09-12T23:46:06.000,"Tolong dong layanan nya ko malah sini malah jelek, gua setiap edit ga pernah bisa di ekspor ke galeri, sekali bisa malah ga ada gambarnya item semua.ini ulasan gua pertama kali waktu pake capcut...sampe sekarang gua masih belum ngasih bintang 5 karna masih ada bug di apk ini kurang akurat kalo versi sekarang","tolong,layan,jelek,saya,tidak,sekali,tidak,ada,gambar,hitam,saya,saya,karena,ada,aplikasi,kurang,kalau",-30,negative
266,Romy Kevin,1,2023-11-18T21:54:30.000,Waduh CC nya makin hari makin rusak masa pake templat truss di simpan ee pas di pake ke udh warna abu² gitu g bisa digunakan trusss ad beberapa templat yg gw suka eee pas mau dipake udh g bisa anjirtttr sampe gw ke YouTube untuk cara mengatasi nya rupanya sama aj sampe gw update hp gw rupa nya sama aj nyesal gw padahal CC yg dulu g kaya gini udh ahh mls sama CC yg ini kalau yg dulu mahh bagus dan lancar lancar aja ko pas udh di update eee Mala tambah parah yg pencipta tolong perbaikin ni CC yaa,"waduh,makin,makin,rusak,simpan,pas,abu,guna,ada,yang,saya,suka,pas,mau,sampai,saya,atas,rupa,sama,saja,sampai,saya,terbaru,saya,rupa,sama,saja,sesal,saya,yang,kaya,malas,sama,yang,kalau,yang,mahh,bagus,lancar,lancar,saja,pas,terbaru,mala,tambah,parah,yang,tolong",2,positive
267,Rohim 65,1,2023-11-28T20:27:33.000,"Sekarang capcut tambah ngebug JD g lama untuk masuk ke apk nya meski hpnya lemot biasanya agak cepat tp sekarang tambah lama banget untuk masuk ke apk capcutny,,,,JD tolong diperbaiki lagi dong","tambah,jadi,lama,aplikasi,meski,lot,biasa,cepat,tambah,lama,aplikasi,tolong,baik,lagi",-13,negative
268,Nyong Ale Karibo,1,2023-11-20T18:31:25.000,Aplikasi jadi macet .di saat mau nambah Overlay tidak jadi..aplikasi sudah jelek..perbaiki dulu baru aku nambah ⭐,"aplikasi,jadi,mau,tidak,sudah,aku",2,positive
269,mut tee,3,2023-10-01T13:57:03.000,"untuk tools dan templatenya bagus, tapi untuk resolusinya tidak ketika ingin menyimpan video dengan resolusi sampai 2/4k, tingkat bingkai 60 dan laju bit tinggi, hasilnya tetap sama saja tidak ada perubahan, Vidio yg diedit tetap tidak jernih dan pemutaran tidak smooth","bagus,resolusi,tidak,simpan,resolusi,sampai,tingkat,tinggi,hasil,tetap,sama,saja,tidak,ada,yang,tetap,tidak,jernih,tidak",3,positive
270,Kaila Raissa Putri,5,2023-09-17T10:51:13.000,Hai kak kenapa aplikasi ini ngelag ngelag jadi saya pas atur durasi video atau foto nya jadinya tuh hitam semua gambarnya kayaknya harus mulai ulang aduh gimana dong tolong diperbaiki padahal aplikasinya udah bagus cara ngeditnyaada transisi efek dan lain-lainnya itu sudah bagus semua tapi itu jaringan saya padahal sudah bagus tapi kenapa malah tapi tambah ngelag-ngelag betul jadi saya mohon diperbaiki,"hai,aplikasi,jadi,saya,pas,atur,foto,jadi,hitam,semua,gambar,kayak,harus,mulai,aduh,tolong,baik,aplikasi,sudah,bagus,efek,itu,sudah,bagus,semua,itu,jaringan,saya,sudah,bagus,tambah,betul,jadi,saya,mohon,baik",13,positive
271,Dina Mariana,3,2023-11-17T22:15:47.000,"Kok jadi gini yaa tiap mau edit lagu pakai lirik , kalau sudah di save ..di puter lagi di galeri lirik nya selalu kepotong 😭 Hpku sampe tak restart terus ,kirain hpku yg bermasalah","jadi,mau,lagu,kalau,sudah,lagi,potong,sampai,tidak,kira,yang,masalah",-5,negative
272,akun santriwan,5,2023-11-25T09:39:58.000,"Seketika Ente Pakai CC, tiba-tiba jadi Editor Berkelas. Keren Aplikasinya, tingkatkan teruss ❤❤❤❤","jadi,aplikasi,tingkat",-2,negative
273,Ririn Santika,1,2023-11-16T14:56:36.000,"kenapa sekarang klo make template ada watermark nya walaupun udah di ekspor ke tiktok tpi tetp aja ada watermark nya, klo vid nya di potong jadi ngeblur, susah sekarang aneh jelek","kalau,ada,sudah,saja,ada,kalau,potong,jadi,susah,aneh,jelek",1,positive
274,Ramzy Albaz,1,2023-12-02T17:57:24.000,"Pas pencet pencarian itu ada tulisan"" Tidak dapat dimuat. Ketuk untuk mencoba lagi"" setiap diketuk pasti kek gtu mulu","pas,pencet,cari,itu,ada,tidak,dapat,coba,lagi,pasti,seperti,melulu",-5,negative
275,johana kp,4,2023-11-19T17:45:18.000,Bagus banget cocok buat ngedit tapi biasanya pas pake templat ngebug terus juga agak lemot tapi ini gak kalah bagus sama aplikasi edit lainnya👍🏻,"bagus,cocok,buat,biasa,pas,lot,kalah,bagus,sama,aplikasi,lain",0,neutral
276,Gaiz JayaHind,1,2023-11-19T21:31:11.000,"Aplikasi nya sangat tidak bagus jaringan nya ngelg padahl sinyal nya tidak ngelg saya beri bintang satu 1 karena aplikasi tidak bagus , Tolong di Bagus in lagi.","aplikasi,sangat,tidak,bagus,jaringan,tidak,saya,beri,satu,karena,aplikasi,tidak,bagus,tolong,bagus,lagi",-17,negative
277,vicoletta anel,1,2023-11-23T14:14:57.000,Ini setelah update.. Kenapa tidak bisa dimainkan saat mau edit video.. Padahal akan edit suara agar terpotong.. Semakin payah nih,"terbaru,tidak,main,mau,suara,agar,potong,makin",5,positive
278,YNF STORE,2,2023-11-18T07:59:26.000,Ekspor nya lama banget semenjak update padahal dulu ngekspor lirik lagu ga selama ini sekarang bisa sampai 2 menit padahal memori masi luas tolong di perbaiki lagi ya,"lama,terbaru,lagu,tidak,lama,sampai,luas,tolong,baik,lagi",-4,negative
